accident_id,accident_code,date,year,state,district,mine_name,mine_type,owner,accident_type,cause,severity,fatalities,injuries,persons_killed,description
1,0111 Fall of Roof,2015-05-16,2015,Rajasthan,,Khetri Copper Mine,Underground,Hindustan Copper Ltd.,,,Fatal,2,0,,
2,0112 Fall of Sides (Other than Overhangs),2015-01-14,2015,Maharashtra,,Chikla Manganese Mine,Underground,Manganese Ore [India] Ltd.,,,Fatal,6,0,,
3,0228 Overwinding of Cages/Skip (downgoing),2015-09-12,2015,Rajasthan,,Mochia Lead And Zink Mine,Underground,Hindustan Zinc Ltd.,,,Fatal,1,0,,
4,0229 Other Accident due to Winding Operation,2015-09-30,2015,Karnataka,,Hutti Gold Mine,Underground,Hutti Gold Mines Co. Ltd.,,,Fatal,1,0,,
5,0334 Conveyors,2015-07-14,2015,Orissa,,Barsua Iron Ore Mine,Underground,Raw Material Division (Sail),,,Fatal,1,0,,
6,0335 Dumpers,2015-01-05,2015,Rajasthan,,Chechat Limestone Mine,Underground,M/S Dilip Kumar Motilal Jain,,,Fatal,8,0,,
7,0336 Wagon Movements,2015-05-13,2015,Chhattisgarh,,Dalli Mechanised Iron Ore Mine,Underground,M/S Bhilai Steel Plant,,,Fatal,1,0,,
8,"0339 Wheeled Trackless(Truck,Tanker,etc.)",2015-01-30,2015,Rajasthan,,Kabir Chawda Panchpera Pahar Sandstone 8,Underground,Shri Kabir Chawda,,,Fatal,5,0,,
9,0449 Other Non-Transportation Machinery,2015-02-25,2015,Uttar Pradesh,,"Billi Markundi Stone(As 4601,2,3,6,8,9)",Underground,M/S B.Agrawal Stone Products Limited,,,Fatal,2,0,,
10,0665 Power Cables Other Than Trailing Cables,2015-10-05,2015,Rajasthan,,Jhanjhar Marble Mine M/L No.26/11,Underground,Shri Heeralal Teli,,,Fatal,2,0,,
11,0776 Well Blowout (With Fire),2015-04-18,2015,Gujarat,,Ankleswar Project Oil Mine,Underground,Oil & Natural Gas Corporation Ltd.,,,Fatal,1,0,,
12,0881 Fall of Person from Height/into Depth,2015-01-03,2015,Uttar Pradesh,,"Billi Markundi Stone Mine(S.N.7402Ka,740",Underground,Shri Ram Naresh,,,Fatal,9,2,,
13,0883 Fall of Objects incl. Rolling Objects,2015-03-10,2015,Rajasthan,,Asahi India Glass Ltd. (Ml No. 14/06),Underground,M/S Asahi India Glass Limited,,,Fatal,4,0,,
14,0992 Flying Pieces(Except due to Explosives),2015-02-13,2015,Karnataka,,Balakundi Pink Granite Mine,Underground,Bharat Timber & Construction Co. Ltd.,,,Fatal,2,0,,
15,0993 Drowning in Water,2015-09-28,2015,Andhra Pradesh,,Chandrika Granite Mine,Opencast,M/S Chandrika Granites,,,Fatal,4,3,,
