accident_id,date,year,month,state,district,mine_name,mine_type,accident_type,cause,severity,fatalities,injuries,description
DGMS-2016-018,2016-01-02,2016,1,Madhya Pradesh,Ranchi,MAD-Mine-53,Limestone,Roof/Side Fall,Methane buildup,Minor,0,1,"Roof/Side Fall incident at Iron Ore mine. Cause: Methane buildup. Location: Madhya Pradesh, Singrauli. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-026,2016-01-16,2016,1,Assam,Ranchi,ASS-Mine-30,Iron Ore,Inundation,Safety protocol violation,Serious,0,12,"Inundation incident at Iron Ore mine. Cause: Safety protocol violation. Location: Assam, Ranchi. 12 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-083,2016-01-21,2016,1,Madhya Pradesh,Talcher,MAD-Mine-68,Manganese,Gas Emission,Human error,Serious,0,7,"Gas Emission incident at Iron Ore mine. Cause: Human error. Location: Madhya Pradesh, Sundergarh. 7 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-059,2016-01-22,2016,1,Jharkhand,Korba,JHA-Mine-13,Underground Coal,Collapse,Inadequate support,Serious,0,3,"Collapse incident at Limestone mine. Cause: Inadequate support. Location: Jharkhand, Talcher. 3 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-020,2016-01-25,2016,1,Odisha,Sundergarh,ODI-Mine-44,Iron Ore,Transport/Haulage,Equipment failure,Serious,0,3,"Transport/Haulage incident at Opencast Coal mine. Cause: Equipment failure. Location: Odisha, Korba. 3 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-062,2016-02-04,2016,2,Jharkhand,Ranchi,JHA-Mine-61,Limestone,Fall of Person,Methane buildup,Serious,0,6,"Fall of Person incident at Manganese mine. Cause: Methane buildup. Location: Jharkhand, Talcher. 6 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-034,2016-02-05,2016,2,Assam,Ranchi,ASS-Mine-32,Iron Ore,Explosion,Safety protocol violation,Minor,0,0,"Explosion incident at Limestone mine. Cause: Safety protocol violation. Location: Assam, Ranchi. Investigation ongoing by DGMS authorities."
DGMS-2016-007,2016-02-12,2016,2,Chhattisgarh,Ranchi,CHH-Mine-89,Opencast Coal,Explosion,Poor ventilation,Minor,0,2,"Explosion incident at Iron Ore mine. Cause: Poor ventilation. Location: Chhattisgarh, Ranchi. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-037,2016-02-16,2016,2,Odisha,Sundergarh,ODI-Mine-92,Opencast Coal,Collapse,Equipment failure,Minor,0,0,"Collapse incident at Underground Coal mine. Cause: Equipment failure. Location: Odisha, Talcher. Investigation ongoing by DGMS authorities."
DGMS-2016-076,2016-02-17,2016,2,Jharkhand,Talcher,JHA-Mine-78,Opencast Coal,Explosion,Human error,Fatal,1,0,"Explosion incident at Opencast Coal mine. Cause: Human error. Location: Jharkhand, Korba. 1 fatalities reported. Investigation ongoing by DGMS authorities."
DGMS-2016-035,2016-02-29,2016,2,Chhattisgarh,Singrauli,CHH-Mine-58,Manganese,Machinery,Inadequate training,Serious,0,14,"Machinery incident at Manganese mine. Cause: Inadequate training. Location: Chhattisgarh, Korba. 14 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-064,2016-03-03,2016,3,Chhattisgarh,Sundergarh,CHH-Mine-01,Manganese,Roof/Side Fall,Methane buildup,Serious,0,11,"Roof/Side Fall incident at Opencast Coal mine. Cause: Methane buildup. Location: Chhattisgarh, Dhanbad. 11 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-038,2016-03-15,2016,3,Madhya Pradesh,Ranchi,MAD-Mine-03,Manganese,Gas Emission,Human error,Minor,0,1,"Gas Emission incident at Manganese mine. Cause: Human error. Location: Madhya Pradesh, Ranchi. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-050,2016-04-07,2016,4,Madhya Pradesh,Singrauli,MAD-Mine-60,Iron Ore,Fall of Person,Structural weakness,Minor,0,2,"Fall of Person incident at Limestone mine. Cause: Structural weakness. Location: Madhya Pradesh, Talcher. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-054,2016-04-11,2016,4,Assam,Korba,ASS-Mine-46,Limestone,Explosion,Inadequate training,Minor,0,2,"Explosion incident at Underground Coal mine. Cause: Inadequate training. Location: Assam, Dhanbad. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-057,2016-04-15,2016,4,Chhattisgarh,Dhanbad,CHH-Mine-95,Underground Coal,Explosion,Structural weakness,Serious,0,1,"Explosion incident at Underground Coal mine. Cause: Structural weakness. Location: Chhattisgarh, Singrauli. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-031,2016-05-07,2016,5,Assam,Singrauli,ASS-Mine-23,Opencast Coal,Collapse,Equipment failure,Serious,0,10,"Collapse incident at Opencast Coal mine. Cause: Equipment failure. Location: Assam, Talcher. 10 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-095,2016-05-09,2016,5,West Bengal,Singrauli,WES-Mine-74,Opencast Coal,Collapse,Poor ventilation,Fatal,2,3,"Collapse incident at Limestone mine. Cause: Poor ventilation. Location: West Bengal, Sundergarh. 2 fatalities reported. 3 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-025,2016-05-10,2016,5,West Bengal,Asansol,WES-Mine-86,Underground Coal,Fall of Person,Inadequate training,Minor,0,1,"Fall of Person incident at Underground Coal mine. Cause: Inadequate training. Location: West Bengal, Korba. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-076,2016-05-11,2016,5,West Bengal,Ranchi,WES-Mine-91,Underground Coal,Explosion,Structural weakness,Minor,0,1,"Explosion incident at Limestone mine. Cause: Structural weakness. Location: West Bengal, Ranchi. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-084,2016-05-20,2016,5,Assam,Sundergarh,ASS-Mine-29,Limestone,Fire,Poor ventilation,Serious,0,2,"Fire incident at Limestone mine. Cause: Poor ventilation. Location: Assam, Singrauli. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-017,2016-05-28,2016,5,West Bengal,Ranchi,WES-Mine-55,Manganese,Roof/Side Fall,Safety protocol violation,Minor,0,2,"Roof/Side Fall incident at Iron Ore mine. Cause: Safety protocol violation. Location: West Bengal, Singrauli. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-019,2016-06-02,2016,6,Jharkhand,Asansol,JHA-Mine-43,Opencast Coal,Electrical,Methane buildup,Serious,0,9,"Electrical incident at Underground Coal mine. Cause: Methane buildup. Location: Jharkhand, Dhanbad. 9 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-032,2016-06-03,2016,6,Jharkhand,Singrauli,JHA-Mine-48,Manganese,Electrical,Methane buildup,Serious,0,10,"Electrical incident at Underground Coal mine. Cause: Methane buildup. Location: Jharkhand, Sundergarh. 10 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-056,2016-06-21,2016,6,West Bengal,Asansol,WES-Mine-92,Underground Coal,Electrical,Weather conditions,Fatal,1,1,"Electrical incident at Underground Coal mine. Cause: Weather conditions. Location: West Bengal, Sundergarh. 1 fatalities reported. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-042,2016-07-06,2016,7,Jharkhand,Singrauli,JHA-Mine-86,Limestone,Fire,Poor ventilation,Serious,0,4,"Fire incident at Limestone mine. Cause: Poor ventilation. Location: Jharkhand, Ranchi. 4 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-009,2016-07-08,2016,7,West Bengal,Dhanbad,WES-Mine-52,Manganese,Roof/Side Fall,Human error,Serious,0,7,"Roof/Side Fall incident at Limestone mine. Cause: Human error. Location: West Bengal, Talcher. 7 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-083,2016-07-12,2016,7,Chhattisgarh,Korba,CHH-Mine-19,Limestone,Transport/Haulage,Structural weakness,Minor,0,1,"Transport/Haulage incident at Opencast Coal mine. Cause: Structural weakness. Location: Chhattisgarh, Singrauli. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-020,2016-07-16,2016,7,Jharkhand,Sundergarh,JHA-Mine-36,Iron Ore,Machinery,Equipment failure,Serious,0,1,"Machinery incident at Limestone mine. Cause: Equipment failure. Location: Jharkhand, Korba. 1 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-084,2016-08-12,2016,8,Jharkhand,Sundergarh,JHA-Mine-77,Iron Ore,Collapse,Structural weakness,Minor,0,2,"Collapse incident at Manganese mine. Cause: Structural weakness. Location: Jharkhand, Singrauli. 2 injuries reported. Investigation ongoing by DGMS authorities."
DGMS-2016-002,2016-08-31,2016,8,Odisha,Singrauli,ODI-Mine-88,Opencast Coal,Machinery,Inadequate support,Serious,0,1,"Machinery incident at Manganese mine. Cause: Inadequate support. Location: Odisha, Sundergarh. 1 injuries reported. Investigation ongoing by DGMS authorities."
